1,isbn,author,tag_author,name,publisher,city,type_of_printing,printing,publ_date,year_of_w,language,type,cover,read,series,condition,inscription,format,pages,from
1,5-85009-369-9,Шарлотта Мари Йонж,Йонж,Таинственные приключения маленького герцога Ричарда,Советский спорт,Москва,Основной,70000,1993,,русский,роман,твёрдая,FALSE,,normal - old,,84*108(1/32),125,в электричке
2,978-0-7535-1816-8,Charles Bukowski,Буковски,Post Office,Virgin Books,,,,2009,1971,english,роман,мягкая,TRUE,,normal - new,,,160,Старая книга
3,,Илья Ильф. Евгений Петров,Ильф/Петров,Двенадать стульев. Золотой телёнок. ,Туркменское ГИ,Ашхабад,Основной,125000,1957,,русский,сборник,твёрдая,FALSE,,,,84*108(1/32),652,со Светлановского
4,,Йон Друцэ,Друцэ,Возвращение на круги своя,Молодая гвардия,Москва,Основной,100000,1974,,русский,сборник,твёрдая,FALSE,,medium - old,,70*108(1/32),400,Светлана-ПП
5,,Ален-Рене Лесаж,Лесаж,Хромой бес,ГИ художественной литературы,Москва,Основной,150000,1956,,русский,роман,твёрдая,FALSE,,,,84*108(1/32),232,Старая книга
6,,Синклер Льюис ,Син.Льюис,Гидеон Плениш,ГИ иностранной литературы,Москва,Основной,,1947,1943,русский,роман,твёрдая,FALSE,,medium - old,,82*108(1/32),394,Старая книга
7,,Сост: В.Головской,,Звезды немого кино,Искусство,Москва,Основной,150000,1968,,русский,сборник,твёрдая,FALSE,,,,70*90(1/16),240,Старая книга
8,5-87897-002-3,М.И.Бартенева,Бартенева,Николай Бенуа,Стройиздат,Санкт-Петербург,Основной,25000,1994,,русский,биография,твёрдая с обёрткой,FALSE,,good - old,,60*90(1/32),176,Дом Книги
9,978-5-271-26880-9,Крез,Крез,Я - аферист. Признания банкира.,Corpus - Астрель,Москва,Основной,3000,2010,2009,русский,роман,твёрдая,FALSE,Corpus,medium - new,,70*108(1/32),288,Старая книга
10,5-87897-076-7,В.К.Шуйский,,Карло Росси,Стройиздат,Санкт-Петербург,Основной,5000,2001,2001,русский,биография,твёрдая с обёрткой,FALSE,,normal - new,,60*90(1/32),224,ДК Крупской
11,5-87897-005-8,О.А.Чеканова,,Огюст Монферран,Стройиздат,Санкт-Петербург,,25000,1994,1990,русский,биография,твёрдая с обёрткой,FALSE,,good - old,,60*90(1/32),192,Дом Книги
12,5-87897-031-7,Д.А.Кочарианц,,Иван Старов,Стройиздат,Санкт-Петербург,Основной,5000,1997,1997,русский,биография,твёрдая с обёрткой,FALSE,,good - old,,60*90(1/32),176,ДК Крупской
13,978-5-17-080485-6,Эрнест Хемингуэй,Хэмингуэй,"Прощай, оружие",АСТ,Москва,Дополнительный,3000,2014,1929,русский,роман,мягкая,FALSE,Зарубежная классика,medium - new,,70*90(1/32),364,Маша
14,5-9524-0565-7,Анатолий Иванов,,Прогулки по Петербургу. Дома и люди. ,Центрполиграф. МиМ-Дельта,Москва - Санкт-Петербург,Основной,5000,2003,2003,русский,история,твёрдая,FALSE,,normal - new,,,250,ДК Крупской
15,978-985-16-2636-2,Стюарт О'Нэн. Стивен Кинг,,Болельщик,АСТ,Москва,Основной,5000,2007,2004,русский,публицистика,мягкая,TRUE,,bad - new,,70*100(1/32),539,Буквоед
16,5-17-0100207-0,Луис Бегли,Бегли,Уход Мистлера,АСТ,Москва,Основной,5000,2001,1998,русский,роман,твёрдая,FALSE,Мастера. Современная проза,,,84*108(1/32),285,Старая книга
17,0-14-010115-2,Patricia Highsmith,Хайсмит,The Tremor of Forgery,Penguin Books,,,,1987,1969,english,роман,мягкая,FALSE,,normal - new,,70*100(1/32),250,Подарок
18,978-5-389-05893-4,Робертсон Дэвис,Дэвис,Мир чудес,Азбука,Санкт-Петербург,Основной,4000,2013,1975,русский,роман,мягкая,FALSE,Азбука-классика,,,76*100(1/32),416,Старая книга
19,5-267-00470-7,Сергей Довлатов,Довлатов,Компромисс,Азбука,Санкт-Петербург,Основной,7000,2002,,русский,роман,мягкая,FALSE,Азбука-классика,,,76*100(1/32),224,Старая книга
20,978-5-699-26607-4,Йен Флеминг,Флеминг,Шаровая молния,Эксмо,Москва,Основной,5000,2008,1961,русский,роман,мягкая,TRUE,Весь Джеймс Бонд,medium - new,,70*100(1/32),352,Фазенда
21,978-5-699-26002-7,Йен Флеминг,Флеминг,Голдфингер,Эксмо,Москва,Основной,7000,2008,1959,русский,роман,мягкая,TRUE,Весь Джеймс Бонд,medium - new,,70*100(1/32),320,Фазенда
22,978-5-699-27052-1,Йен Флеминг,Флеминг,Живёшь лишь дважды,Эксмо,Москва,Основной,5000,2008,1964,русский,роман,мягкая,TRUE,Весь Джеймс Бонд,medium - new,,70*100(1/32),320,Фазенда
23,978-5-699-27054-5,Йен Флеминг,Флеминг,Человек с золотым пистолетом,Эксмо,Москва,Основной,5000,2008,1965,русский,роман,мягкая,TRUE,Весь Джеймс Бонд,medium - new,,70*100(1/32),320,Фазенда
24,978-5-699-24719-6,Йен Флеминг,Флеминг,"Проект ""Мунрэкер""",Эксмо,Москва,Основной,7000,2008,1955,русский,роман,мягкая,TRUE,Весь Джеймс Бонд,medium - new,,70*100(1/32),352,Фазенда
25,978-5-699-26004-1,Йен Флеминг,Флеминг,Только для твоих глаз,Эксмо,Москва,Основной,7000,2008,1960,русский,роман,мягкая,TRUE,Весь Джеймс Бонд,medium - new,,70*100(1/32),320,Фазенда
26,5-7245-0828-1,С.В.Родионов,Родионов,Долгое дело. Камень.,Химия,Москва - Ленинград,Основной,300000,1991,,русский,сборник романов,твёрдая,FALSE,Советский детектив,,,84*108(1/32),544,была
27,5-340-00162-8,Михаил Булгаков,Булгаков,Белая гвардия. Мастер и Маргарита,Мастацкая лiтература,Минск,Основной,2900000,1988,,русский,сборник романов,твёрдая,TRUE,,,,84*108(1/32),670,неизвестно
28,,Карло Лидзани,Лидзани,Итальянское кино,ГИ Искусство,Москва,Основной,20000,1956,,русский,кино,твёрдая,FALSE,,,,84*108(1/32),,Старая книга
29,,Александр Лебеденко,Лебеденко,Дом без привидений,Лениздат,Ленинград,Основной,65000,1963,,русский,роман,твёрдая,FALSE,,bad - old,,84*108(1/32),468,неизвестно
30,,В.Солоухин,Солоухин,Созерцание чуда,Современник,Москва,Основной,200000,1986,,русский,сборник романов,твёрдая,FALSE,,medium - old,,84*108(1/32),400,Светлана-ПП
31,,Анатолий Виноградов,Виноградов,Три цвета времени,Лениздат,Ленинград,Основной,300000,1981,1931,русский,роман,твёрдая,FALSE,,medium - old,,84*108(1/32),592,Светлана-ПП
32,,В.Я.Шишков,Шишков,Угрюм Река. Том второй.,ГИ художественной литературы,Москва,Основной,300000,1957,1918-1932,русский,роман,твёрдая,FALSE,,bad - old,,84*108(1/32),512,со Светлановского
33,,В.Я.Шишков,Шишков,Угрюм Река. Том первый.,ГИ художественной литературы,Москва,Основной,300000,1957,1918-1933,русский,роман,твёрдая,FALSE,,bad - old,поздравление с днём рождения 1959 г.,84*108(1/32),468,со Светлановского
34,,Лион Фейхтвангер,Фейхтвангер,Испанская баллада,Издательство иностранной литературы,Москва,Основной,,1958,,русский,роман,твёрдая,FALSE,,bad - old,адрес,84*108(1/32),448,Светлана-ПП
35,,Луи Буссенар,Буссенар,Похитители бриллиантов,Ураджай,Минск,Основной,350000,1982,,русский,роман,твёрдая,FALSE,,good - old,,84*108(1/32),382,неизвестно
36,,Дмитрий Балашов,Балашов,Марфа-посадница,Карелия,Петрозаводск,Основной,100000,1976,,русский,роман,твёрдая,FALSE,,medium - old,,84*108(1/32),504,была
37,978-5-699-69330-6,Маркус Зусак,Зусак,Книжный вор,Эксмо,Москва,Основной,10000,2014,2005,русский,роман,твёрдая,FALSE,,normal - new,,80*100(1/32),560,Маша
38,978-5-04-090753-3,Сьюзен Льюис,Сью.Льюис,Не выходи из дома,Э,Москва,Основной,20000,2017,2015,русский,роман,мягкая,FALSE,,good - new,,80*100(1/32),480,подарок
39,978-5-91181-909-5,Себастьян Фолкс,Фолкс,Дьявол не любит ждать,Азбука-Классика,Санкт-Петербург,Основной,100000,2008,,русский,роман,твёрдая,TRUE,,normal - new,,84*108(1/32),384,Книжные магазины
40,985-13-2607-0,Сост: А.Г.Мерников. А.А.Спектор,,Всемирная история войн,Харвест,Минск,Основной,5000,2005,2005,русский,история,твёрдая,FALSE,,normal - new,,60*90(1/16),768,неизвестно
41,966-670-021-2,Сост: А.В.Сердюк,,Малая энциклопедия событий,АСТ Торсинг,Москва,Основной,10000,2002,2002,русский,история,твёрдая,FALSE,,normal - new,,60*90(1/16),687,ДК Крупской
42,,Сост: М.Булатов,,Гора самоцветов,Детская литература,Москва,Основной,100000,1986,,русский,сборник сказок,твёрдая,FALSE,,medium - old,,60*90(1/16),416,была
43,5-8352-0212-1,Александр Кондратьев,Кондратьев,Сны,Северо-Запад,Санкт-Петербург,Основной,100000,1993,,русский,сборник рассказов,твёрдая с обёрткой,FALSE,,normal - old,,84*108(1/32),544,неизвестно
44,,Анатолий Виноградов,Виноградов,Три цвета времени,Художественная литература,Москва,Основной,1000000,1979,1931,русский,роман,твёрдая,FALSE,,medium - old,,84*108(1/32),621,была
45,978-5-17-071244-1,Франц Верфель,Верфель,Верди. Роман Оперы,АСТ,Москва,Основной,3000,2011,1924,русский,роман,твёрдая,FALSE,,normal - new,,84*108(1/32),411,Старая книга
46,,А.И.Куприн,Куприн,Река жизни,Лениздат,Ленинград,Основной,700000,1986,,русский,сборник рассказов,твёрдая,TRUE,,normal - old,,84*108(1/32),704,была
47,,Рене Клер,Клер,Размышления о киноискусстве,ГИ Искусство,Москва,Основной,20000,1958,,русский,кино,твёрдая с обёрткой,FALSE,,medium - old,,82*108(1/32),230,Старая книга
48,,Джек Лондон ,Лондон,Любовь к жизни,Горьковское книжное издательство,Горький,Основной,70000,1955,,русский,сборник рассказов,твёрдая,FALSE,,worn - old,,84*108(1/32),188,Старая книга
49,,Лилиан Гиш,Гиш,Кино. Гриффит и я,Искусство,Москва,Основной,30000,1974,,русский,биография,твёрдая,FALSE,,worn - old,,84*108(1/32),183,Старая книга
50,978-5-389-07308-1,Луис Сепульведа,Сепульведа,Старик. который читал любовные романы,Азбука,Санкт-Петербург,Основной,7000,2014,1989,русский,роман,твёрдая с обёрткой,FALSE,,good - new,,84*100(1/32),224,Буквоед
51,978-5-8189-0911-0,Денис Пилипенко,,Преступления в спорте,Geleos,Москва,Дополнительный,3000,2007,2007,русский,история,твёрдая,TRUE,,medium - new,,84*108(1/32),256,Книжные магазины
52,,Жоржи Амаду,Амаду,Лавка чудес,Радуга,Москва,Основной,300000,1986,1969,русский,роман,твёрдая,FALSE,,medium - old,,84*108(1/32),336,Старая книга
53,,Ф.И.Тютчев,Тютчев,Стихотворения,Правда,Москва,Основной,200000,1986,,русский,поэзия,твёрдая,FALSE,,good - old,,84*108(1/32),544,со Светлановского
54,978-5-17-084253-7,Сост: Е.Мишаненкова,,Я - Грэйс Келли,АСТ,Москва,Основной,3500,2014,,русский,биография,твёрдая,FALSE,,medium - new,,84*108(1/32),224,Старая книга
55,,Уильям Фолкнер,Фолкнер,Рассказы.Медведь.Осквернитель праха.,Правда,Москва,Основной,500000,1986,,русский,сборник рассказов,твёрдая,FALSE,Библиотека зарубежной классики,normal - old,,84*108(1/32),544,Старая книга
56,978-5-86471-439-3,Стивен Фрай,С.Фрай,Книга всеобщих заблуждений,Phantom Press,Москва,Основной,10000,2008,2006,русский,публицистика,твёрдая,FALSE,,worn - new,,84*108(1/32),480,Старая книга
57,5-86471-328-7,Стивен Фрай,С.Фрай,Гиппопотам,Phantom Press,Москва,Основной,4000,2005,1994,русский,роман,твёрдая,FALSE,Зебра,medium - new,,70*100(1/32),448,Старая книга
58,978-5-9985-0691-8,Эрленд Лу,Лу,Тихие дни в перемешках,Азбука-Классика,Санкт-Петербург,Основной,12000,2010,2009,русский,роман,твёрдая,TRUE,,medium - new,,75*100(1/32),192,Старая книга
59,978-5-17-092564-3,Стивен Кинг,Кинг,Мизери,АСТ,Москва,Дополнительный,5000,2016,1987,русский,роман,мягкая,FALSE,Король на все времена,good - new,,76*100(1/32),416,Старая книга
60,5-352-00050-8,Ричард Бах,Бах,Чайка по имени Джонатан Ливингстон,Азбука-Классика,Санкт-Петербург,Основной,10000,2005,1970,русский,роман,мягкая,FALSE,,worn - new,,76*100(1/32),176,Старая книга
61,978-5-389-06372-3,Джек Лондон ,Лондон,Маленькая хозяйка большого дома,Азбука,Санкт-Петербург,Основной,3000,2015,1915,русский,роман,мягкая,TRUE,,medium - new,,75*100(1/32),352,Старая книга
62,,Михаил Зощенко,Зощенко,Избранное,Правда,Москва,Основной,1500000,1981,,русский,сборник рассказов,твёрдая,FALSE,,normal - old,,84*108(1/32),608,была
63,,Джек Лондон ,Лондон,Люди бездны. Рассказы. ,Правда,Москва,Основной,500000,1987,,русский,сборник рассказов,твёрдая,FALSE,Библиотека зарубежной классики,normal - old,,84*108(1/32),528,Старая книга
64,,Алексей Толстой,Ал.Толстой,Эмигранты,Правда,Москва,Основной,3000000,1982,,русский,сборник рассказов,твёрдая,FALSE,,normal - old,,84*108(1/32),560,была
65,5-352-00311-6,Джеймс Кейн,Дж.Кейн,Почтальон всегда звонит дважды,Азбука-Классика,Санкт-Петербург,Основной,6000,2004,1934,русский,сборник романов,мягкая,TRUE,Азбука-классика,medium - new,,76*100(1/32),256,Старая книга
66,978-5-389-03196-8,Джеймс Кейн,Дж.Кейн,Двойная страховка,Азбука-Классика,Санкт-Петербург,Основной,4000,2012,1936,русский,роман,мягкая,TRUE,Азбука-классика,normal - new,,76*100(1/32),192,Буквоед
67,978-5-389-02381-9,Франц Кафка,Кафка,Лабиринт,Азбука,Санкт-Петербург,Основной,3000,2015,,русский,сборник рассказов,мягкая,FALSE,Азбука-классика,worn - new,,75*100(1/32),224,Старая книга
68,978-5-389-02673-5,Гастон Леру,Леру,Призрак оперы,Азбука,Санкт-Петербург,Основной,3000,2015,,русский,роман,мягкая,FALSE,Азбука-классика,good - new,,75*100(1/32),352,Буквоед
69,5-352-00814-2,Вирджиния Вулф,Вулф,Комната Джейкоба,Азбука-Классика,Санкт-Петербург,Основной,10000,2004,,русский,роман,мягкая,FALSE,Азбука-классика,normal - new,,76*100(1/32),224,Старая книга
70,978-5-389-10070-1,Эрик-Эмманюэль Шмитт,Шмитт,Оскар и Розовая дама,Азбука,Санкт-Петербург,Основной,3000,2015,,русский,сборник рассказов,мягкая,FALSE,Азбука-классика,normal - new,,75*100(1/32),320,Старая книга
71,5-91181-058-1,Эрик-Эмманюэль Шмитт,Шмитт,Распутник,Азбука,Санкт-Петербург,Основной,5000,2006,,русский,сборник,мягкая,FALSE,Азбука-классика,medium - new,,76*100(1/32),224,Старая книга
72,,Артуро Перес-Реверте,Перес-Реверте,Терпеливый снайпер,Эксмо,Москва,Основной,12000,2015,2011,русский,роман,твёрдая,FALSE,,bad - new,,84*108(1/32),384,Старая книга
73,978-5-389-09059-0,Ник Хорнби,Хорнби,Мой мальчик,Азбука,Санкт-Петербург,Основной,4000,2015,,русский,роман,мягкая,TRUE,Азбука-классика,good - new,,75*100(1/32),320,Буквоед
74,978-5-389-04755-6,Михаил Булгаков,Булгаков,Морфий,Азбука,Санкт-Петербург,Основной,4000,2012,,русский,сборник рассказов,мягкая,FALSE,Азбука-классика,good - new,,76*100(1/32),192,Буквоед
75,978-5-389-08635-7,Владимир Набоков,Набоков,Лолита,Азбука,Санкт-Петербург,Основной,15000,2014,,русский,роман,мягкая,FALSE,Азбука-классика,normal - new,,75*100(1/32),416,Маша
76,978-5-389-05891-0,Элизабет Страут,Страут,Оливия Киттеридж,Азбука,Санкт-Петербург,Основной,7000,2013,,русский,роман,мягкая,FALSE,Азбука-классика,good - new,,76*100(1/32),384,Старая книга
77,978-5-389-07846-8,Эдит Уортон,Уортон,В лучах мерцающей луны,Азбука,Санкт-Петербург,Основной,5000,2014,,русский,роман,мягкая,FALSE,Азбука-классика,normal - new,,75*100(1/32),288,Старая книга
78,5-91181-172-3,Милан Кундера,Кундера,Невыносимая лёгкость бытия,Азбука-классика,Санкт-Петербург,Основной,20000,2006,,русский,роман,мягкая,FALSE,Азбука-классика,worn - new,,76*100(1/32),352,Старая книга
79,978-5-389-05092-1,Алессандро Барикко,Барикко,Шёлк,Азбука,Санкт-Петербург,Основной,3000,2016,,русский,роман,мягкая,TRUE,Азбука-классика,normal - new,,76*100(1/32),192,Буквоед
80,978-5-389-06651-9,Алессандро Барикко,Барикко,Мистер Гвин,Азбука,Санкт-Петербург,Основной,5000,2014,,русский,роман,мягкая,TRUE,Азбука-классика,good - new,,75*100(1/32),224,Буквоед
81,978-5-389-10341-2,Алессандро Барикко,Барикко,Море-океан,Азбука,Санкт-Петербург,Основной,3000,2015,,русский,роман,мягкая,TRUE,Азбука-классика,normal - new,,75*100(1/32),224,Буквоед
82,978-5-9985-0179-1,Эрленд Лу,Лу,Наивно. Супер.,Азбука-классика,Санкт-Петербург,Основной,10000,2009,1996,русский,роман,мягкая,TRUE,,worn - new,,76*100(1/32),256,Старая книга
83,978-5-389-06813-1,Эрленд Лу,Лу,У,Азбука,Санкт-Петербург,Основной,5000,2014,1999,русский,роман,мягкая,TRUE,Азбука-классика,worn - new,,75*100(1/32),480,Буквоед
84,978-5-389-06385-3,Эрленд Лу,Лу,Фвонк,Азбука,Санкт-Петербург,Основной,4000,2013,2011,русский,роман,мягкая,TRUE,Азбука-классика,good - new,,76*100(1/32),224,Буквоед
85,978-5-389-06920-6,Эрленд Лу,Лу,Во власти женщины,Азбука,Санкт-Петербург,Основной,3000,2014,1993,русский,роман,мягкая,TRUE,Азбука-классика,normal - new,,75*100(1/32),224,Буквоед
86,978-5-389-05228-4,Эрленд Лу,Лу,Мулей,Азбука,Санкт-Петербург,Основной,3000,2014,2007,русский,роман,мягкая,TRUE,Азбука-классика,medium - new,,75*100(1/32),192,Буквоед
87,978-5-389-07544-3,Эрленд Лу,Лу,Допплер,Азбука,Санкт-Петербург,Основной,5000,2014,2004,русский,роман,мягкая,TRUE,Азбука-классика,normal - new,,76*100(1/32),192,Буквоед
88,978-5-389-01133-5,Чарльз Диккенс,Диккенс,Повесть о двух городах,Азбука,Санкт-Петербург,Основной,5000,2012,,русский,роман,мягкая,FALSE,Азбука-классика,good - new,,76*100(1/32),448,Буквоед
89,978-5-389-03072-5,Иван Гончаров,Гончаров,Обыкновенная история,Азбука,Санкт-Петербург,Основной,4000,2012,,русский,роман,мягкая,FALSE,Азбука-классика,good - new,,76*100(1/32),416,Буквоед
90,978-5-389-08116-1,Анатоль Франс,Франс,Восстание ангелов,Азбука,Санкт-Петербург,Основной,4000,2014,,русский,роман,мягкая,FALSE,Азбука-классика,good - new,,75*100(1/32),256,Буквоед
91,978-5-389-05662-6,Евгений Замятин,Замятин,Мы,Азбука,Санкт-Петербург,Основной,4000,2015,,русский,роман,мягкая,TRUE,Азбука-классика,normal - new,,75*100(1/32),224,Книжные магазины
92,978-5-389-04554-5,Мишель Уэльбек,Уэльбек,Возможность острова,Азбука,Санкт-Петербург,Основной,5000,2012,,русский,роман,мягкая,FALSE,Азбука-классика,good - new,,76*100(1/32),384,Буквоед
93,978-5-389-04994-9,Джон Стейнбек,Стейнбек,Гроздья гнева,Азбука,Санкт-Петербург,Основной,5000,2013,,русский,роман,мягкая,TRUE,Азбука-классика,medium - new,,76*100(1/32),608,Буквоед
94,5-352-00953-X,Джон Стейнбек,Стейнбек,Квартал Тортилья-Флэт,Азбука-классика,Санкт-Петербург,Основной,5000,2004,,русский,роман,мягкая,FALSE,Азбука-классика,bad - new,,76*100(1/32),256,Старая книга
95,,Г.К.Честертон,Честертон,Рассказы,Правда,Москва,Основной,700000,1981,,русский,сборник рассказов,твёрдая,FALSE,,good - old,,84*108(1/32),464,была
96,5-87907-012-3,Роберт Джеймс Уоллер,Уоллер,Мосты округа Мэдисон,РИПОЛ,Москва,Основной,100000,1994,,русский,роман,твёрдая с обёрткой,FALSE,,medium - old,,84*108(1/32),192,Старая книга
97,5-86471-341-4,Стивен Фрай,С.Фрай,Лжец,Phantom Press,Москва,Основной,5000,2005,1991,русский,роман,твёрдая,TRUE,Зебра,normal - new,,70*100(1/32),448,Старая книга
98,978-5-389-05736-4,Паскаль Киньяр,Киньяр,Carus. или Тот. кто дорог своим друзьям,Азбука,Санкт-Петербург,Основной,4000,2013,,русский,роман,мягкая,FALSE,Азбука-классика,normal - new,,76*100(1/32),320,Буквоед
99,5-267-00015-9,Джеймс Джойс,Джойс,Портрет художника в юности,Азбука,Санкт-Петербург,Основной,10000,1999,,русский,роман,мягкая,FALSE,Азбука-классика,worn - old,,80*100(1/32),314,Старая книга
100,978-5-389-06812-4,Говард Джейкобсон,Джейкобсон,Время зверинца,Азбука,Санкт-Петербург,Основной,5000,2014,,русский,роман,мягкая,FALSE,Азбука-классика,good - new,,75*100(1/32),480,Буквоед
101,978-5-389-04148-6,Говард Джейкобсон,Джейкобсон,Вопрос Финклера,Азбука,Санкт-Петербург,Основной,4000,2013,,русский,роман,мягкая,FALSE,Азбука-классика,good - new,,76*100(1/32),448,Буквоед
102,978-5-389-05533-9,Федор Достоевский,Достоевский,Записки из Мёртвого дома,Азбука,Санкт-Петербург,Основной,3000,2013,,русский,роман,мягкая,FALSE,Азбука-классика,good - new,,76*100(1/32),384,Ашан
103,978-5-389-03003-9,Виктор Гюго,Гюго,Человек. который смеется,Азбука,Санкт-Петербург,Основной,4000,2012,,русский,роман,мягкая,FALSE,Азбука-классика,good - new,,76*100(1/32),672,Буквоед
104,978-5-389-04194-3,Владимир Набоков,Набоков,Соглядатай,Азбука,Санкт-Петербург,Основной,3000,2012,,русский,роман,мягкая,FALSE,Азбука-классика,medium - new,,76*100(1/32),160,Ашан
105,978-5-395-00296-9,Владимир Набоков,Набоков,Отчаяние,Азбука-классика,Санкт-Петербург,Основной,5000,2009,,русский,роман,мягкая,FALSE,Азбука-классика,medium - new,,76*100(1/32),224,Буквоед
106,978-5-389-03202-6,Уильям Шекспир,Шекспир,Двенадатая ночь,Азбука,Санкт-Петербург,Основной,4000,2011,,русский,пьеса,мягкая,FALSE,Азбука-классика,good - new,,76*100(1/32),192,Буквоед
107,978-5-389-03525-6,Уильям Шекспир,Шекспир,Сон в летнюю ночь,Азбука,Санкт-Петербург,Основной,3000,2011,,русский,пьеса,мягкая,TRUE,Азбука-классика,good - new,,76*100(1/32),160,Ашан
108,978-5-389-02943-9,Уильям Шекспир,Шекспир,Отелло. Макбет.,Азбука,Санкт-Петербург,Основной,3000,2012,,русский,пьеса,мягкая,FALSE,Азбука-классика,good - new,,76*100(1/32),256,Буквоед
109,978-5-389-02373-4,Джек Лондон ,Лондон ,Время-не-ждёт,Азбука,Санкт-Петербург,Основной,3000,2012,,русский,роман,мягкая,FALSE,Азбука-классика,good - new,,76*100(1/32),384,Буквоед
110,,Джек Лондон ,Лондон ,Мартин Иден,Лениздат,Ленинград,Основной,200000,1981,1909,русский,роман,мягкая,TRUE,Школьная библиотека,bad - old,,84*108(1/32),352,Старая книга
111,,Сост: Ю.Г.Шапиро,,Эрмитаж Путеводитель,Искусство Ленинградское отделение,Ленинград,Основной,100000,1980,,русский,путеводитель,твёрдая,TRUE,,good - old,,60*84(1/16),232,была
112,5-450-01566-6,Иосиф Бродский,Бродский,Стихотворения,Eesti Raamat,Таллинн,Основной,NaN,1991,,русский,поэзия,мягкая,FALSE,,medium - old,,,256,Старая книга
113,5-699-09101-7,Луис Бегли,Бегли,О Шмидте,Эксмо,Москва,Основной,3100,2005,1996,русский,роман,твёрдая,TRUE,,normal - new,,70*100(1/32),384,Старая книга
114,5-87897-011-2,Н.И.Баторевич,,Благодарная Россия своим героям,Стройиздат,Санкт-Петербург,Основной,5000,1995,,русский,история,твёрдая,FALSE,,normal - old,,60*90(1/32),296,неизвестно
115,,А.К.Виноградов,Виноградов,Черный консул,Вышэйшая школа,Минск,Основной,1500000,1982,1933,русский,роман,твёрдая,FALSE,,good - old,,60*90(1/16),256,неизвестно
116,,Жюль Верн,Верн,Пятнадцатилетний капитан,Карелия,Петрозаводск,Основной,250000,1973,1878,русский,роман,твёрдая,FALSE,,worn - old,,84*108(1/32),342,была
117,,Василий Шукшин,Шукшин,Рассказы,Художественная литература,Москва,Основной,1200000,1979,,русский,сборник рассказов,твёрдая,FALSE,,medium - old,,60*90(1/16),383,была
118,978-5-386-06407-5,Л.Н.Толстой,Л.Тостой,Крейцеровая соната,Рипол классик,Москва,Основной,10000,2013,1889,русский,сборник рассказов,мягкая,TRUE,,medium - new,,84*108(1/32),224,Маша
119,978-5-699-44891-3,Стивен Фрай,С.Фрай,Как творить историю,Эксмо - Phantom Press,Москва,Основной,10000,2010,1996,русский,роман,мягкая,FALSE,pocketbook,medium - new,,76*100(1/32),640,Старая книга
120,978-5-699-81491-6,Дэниел Киз,Киз,Таинственная история Билли Миллигана,Э,Москва,Дополнительный,15000,2016,1981,русский,роман,мягкая,TRUE,pocketbook,normal - new,,76*100(1/32),640,Буквоед
121,978-5-699-46389-3,Джон Фаулз,Фаулз,Коллекционер,Эксмо,Москва,Дополнительный,4000,2012,1963,русский,роман,мягкая,TRUE,pocketbook,medium - new,,76*100(1/32),400,Старая книга
122,978-5-699-71785-9,Пол Остер,Остер,Тимбукту,Эксмо,Москва,Основной,3000,2014,1999,русский,роман,мягкая,TRUE,pocketbook,medium - new,,76*100(1/32),224,Буквоед
123,978-5-699-48607-6,Джеральд Даррелл,Даррелл,Под пологом пьяного леса,Эксмо,Москва,Основной,5000,2011,1956,русский,натурализм,мягкая,TRUE,pocketbook,worn - new,,76*100(1/32),352,Буквоед
124,978-5-699-39547-7,Джеральд Даррелл,Даррелл,Птицы. звери и родственники,Эксмо,Москва,Дополнительный,3000,2010,1969,русский,натурализм,мягкая,TRUE,pocketbook,medium - new,,76*100(1/32),320,Старая книга
125,5-87849-008-0,Игорь Северянин,Северянин,Ноктюрн,Яуза,Москва,Основной,15000,1996,,русский,поэзия,твёрдая,TRUE,,normal - old,,60*84(1/32),192,Старая книга
126,978-5-87107-291-2,Редьярд Киплинг,Киплинг,Бремя белых,Комсомольская правда - Амфора,Москва - Санкт-Петербург,Основной,20000,2012,,русский,поэзия,твёрдая,FALSE,Великие поэты,good - new,,75*90(1/32),239,Старая книга
127,978-5-699-54993-1,Патриция Хайсмит,Хайсмит,Два лика января,Эксмо - Домино,Москва - Санкт-Петербург,Дополнительный,5000,2014,1964,русский,роман,твёрдая,FALSE,Интеллектуальный бестселлер,good - new,,70*90(1/32),464,подарок
128,978-5-17-083923-0,Хорхе Букай,Букай,Кандидат,АСТ,Москва,Основной,7000,2014,2006,русский,роман,твёрдая,FALSE,,normal - new,,70*108(1/32),510,Старая книга
129,5-352-00910-6,Дэниел Уоллес,Уоллес,Крупная рыба,Азбука,Санкт-Петербург,Основной,5000,2004,1998,русский,роман,мягкая,FALSE,Закон жанра (New Azbooka),medium - new,,76*100(1/32),192,Старая книга
130,5-352-01121-6,Кари Хотакайнен,Хотакайнен,Улица Окопная,Азбука,Санкт-Петербург,Основной,7000,2004,2002,русский,роман,мягкая,FALSE,Закон жанра (New Azbooka),medium - new,,76*100(1/32),336,Старая книга
131,,Жорж Санд,Санд,Индиана. Валентина.,Дагестанское книжное издательство,Махачкала,Основной,220000,1988,,русский,сборник романов,твёрдая,FALSE,,medium - old,,84*108(1/32),512,была
132,,Чарльз Диккенс,Диккенс,Приключения Оливера Твиста,Финансы и Статистика,Москва,Основной,308000,1984,,русский,роман,твёрдая,FALSE,,normal - old,,84*108(1/32),431,Старая книга
133,978-5-89091-350-0,Алессандро Барикко,Барикко,Замки гнева,Symposium,Санкт-Петербург,Основной,3000,2007,1991,русский,роман,твёрдая,FALSE,,normal - new,,76*100(1/32),320,Старая книга
